"","Taxon.Name","Metals.Tolerance"
"1","Glossiphonia complanata",4
"2","Helobdella stagnalis",4
"6","Hyalella azteca",3
"9","Dineutus longimanus portoricensis",5
"10","Cleptelmis ornata",4
"13","Lara avara",1
"19","Zaitzevia parvula",3
"21","Chelifera",4
"23","Limnophora",7
"24","Euparyphus",4
"25","Atherix pachypus",4
"44","Krenopsectra",1
"80","Thienemannimyia complex",3
"82","Aedes",5
"84","Simulium (Eusimulium)",5
"85","Pericoma",4
"86","Protanyderus",1
"92","Limonia",2
"96","Amphinemura",1
"101","Kathroperla perdita",2
"105","Isoperla fulva",3
"106","Isoperla quinquepunctata",2
"111","Pteronarcella badia",4
"116","Arctopsyche grandis",3
"117","Ceratopsyche",5
"118","Ceratopsyche cockerelli",4
"119","Ceratopsyche morosa",5
"120","Ceratopsyche oslari",6
"121","Ceratopsyche slossonae",6
"122","Ceratopsyche tana",6
"125","Hydropsyche occidentalis",5
"131","Leucotrichia notosa",1
"132","Leucotrichia pictipes",1
"139","Amiocentrus aspilus",1
"142","Micrasema bactro",2
"152","Rhyacophila Brunnea/Vemna Group",1
"154","Helicopsyche borealis",3
"157","Paraleptophlebia bicornuta",1
"158","Paraleptophlebia debilis",1
"161","Caudatella heterocaudata",0
"163","Drunella coloradensis",0
"165","Drunella grandis",1
"166","Ephemerella excrucians",3
"167","Serratella tibialis",1
"169","Tricorythodes minutus",4
"174","Baetis bicaudatus",4
"175","Baetis tricaudatus",5
"177","Centroptilum",1
"179","Plauditus punctiventris",3
"181","Ecdyonurus criddlei",1
"183","Epeorus albertae",0
"184","Epeorus grandis",0
"186","Heptagenia solitaria",1
"187","Maccaffertium terminatum",1
"190","Enallagma",3
"191","Ischnura",4
"195","Ferrissia rivularis",1
"196","Fisherola nuttalli",1
"197","Fossaria",3
"198","Radix auricularia",1
"199","Stagnicola",3
"202","Valvata humeralis",1
