"","OTU_MetricCalc","Taxon","Taxon.Serial.Number"
"14","Aeshna/Rhionaeschna","Aeshna",101603
"15","Aeshna/Rhionaeschna","Aeshna interrupta",185979
"16","Aeshna/Rhionaeschna","Aeshna umbrosa",101605
"50","Amphicosmoecus","Amphicosmoecus canax",116254
"56","Anafroptilum/Procloeon","Anafroptilum",-179
"57","Anafroptilum/Procloeon","Procloeon",206622
"58","Anafroptilum/Procloeon","Centroptilum album",100878
"59","Anafroptilum/Procloeon","Centroptilum conturbatum",100875
"60","Anafroptilum/Procloeon","Centroptilum/Procloeon",-4
"61","Anafroptilum/Procloeon","Centroptilum",100873
"82","Arcteonais","Arcteonais lomondi",68976
"91","Asioplax","Asioplax edmundsi",609625
"95","Atractelmis","Atractelmis wawona",114252
"118","Baetodes","Baetodes tritus",568588
"124","Bilyjomyia","Bilyjomyia algens",-159
"134","Bothrioneurum","Bothrioneurum vejdovskyanum",68779
"160","Calasellus/Salmasellus","Calasellus",92780
"182","Caudatella heterocaudata complex","Caudatella heterocaudata",101351
"232","Chyrandra","Chyranda Chyranda centralis",1053275
"233","Chyrandra","Chyrandra centralis",116018
"238","Cipangopaludina","Cipangopaludina chinensis",70329
"267","Copelatinae","Copelatus",112561
"346","Doncricotopus","Doncricotopus bicaudatus",128681
"350","Drunella coloradensis/flavilinea","Drunella flavilinea/coloradensis",-10
"351","Drunella coloradensis/flavilinea","Drunella flavilinea",101392
"352","Drunella coloradensis/flavilinea","Drunella coloradensis",101389
"416","Ephoron","Ephoron album",101571
"422","Erpetogomphus","Erpetogomphus compositus",592837
"495","Glyphopsyche","Glyphopsyche irrorata",116031
"532","Helodon/Prosimulium","Prosimulium",126703
"533","Helodon/Prosimulium","Helodon",-144
"751","Matriella teresa","Serratella teresa",568641
"807","Neaviperla/Suwallia","Suwallia forcipata",609888
"808","Neaviperla/Suwallia","Suwalliini",-222
"809","Neaviperla/Suwallia","Suwallia",103254
"823","Neoleptophlebia/Paraleptophlebia","Paraleptophlebia debilis",101193
"824","Neoleptophlebia/Paraleptophlebia","Paraleptophlebia temporalis",101226
"825","Neoleptophlebia/Paraleptophlebia","Paraleptophlebia vaciva",101227
"826","Neoleptophlebia/Paraleptophlebia","Neoleptophlebia",-201
"827","Neoleptophlebia/Paraleptophlebia","Paraleptophlebia",101187
"828","Neoleptophlebia/Paraleptophlebia","Paraleptophlebia memorialis",101214
"829","Neoleptophlebia/Paraleptophlebia","Paraleptophlebia clara",101192
"830","Neoleptophlebia/Paraleptophlebia","Paraleptophlebia heteronea",101212
"870","Ophidonais","Ophidonais serpentina",68996
"890","Orohermes","Orohermes crepusculus",115045
"926","Paracloeodes","Paracloeodes minutus",100901
"950","Parathyas","Todothyas",-240
"971","Perlinodes aureus","Perlinodes aurea",103135
"972","Perlinodes aureus","Perlinodes",103134
"1015","Polycentropus sensu lato","Plectrocnemia",568776
"1026","Potthastia Longimanus Group","Potthastia Longimana Group",-30
"1083","Quistradrilus","Quistadrilus multisetosus",974772
"1084","Radix","Radix auricularia",76526
"1089","Rhabdomastix (Lurdia)","Rhabdomastix Setigera Group",-33
"1121","Rhyacophila Brunnea/Vemna Groups","Rhyacophila brunnea",115151
"1122","Rhyacophila Brunnea/Vemna Groups","Rhyacophila Brunnea/Vemna Group",-38
"1142","Rhyacophila vetina complex","Rhyacophila vetina Complex",-157
"1263","Thienemannimyia Group","Rheopelopia",128226
"1264","Thienemannimyia Group","Meropelopia",128132
"1265","Thienemannimyia Group","Conchapelopia",128130
"1266","Thienemannimyia Group","Helopelopia",128131
"1267","Thienemannimyia Group","Hayesomyia senata",-158
"1268","Thienemannimyia Group","Thienemannimyia complex",-54
"1269","Thienemannimyia Group","Telopelopia",128233
"1270","Thienemannimyia Group","Thienemannimyia",128236
"1333","Uncinais","Uncinais uncinata",68990
"1336","Unionoidea","Unionoida",79912
"1337","Unionoidea","Unionidae",79913
"1338","Unionoidea","Pyganodon",567112
"1353","Xenochironomus xenolabis","Xenochironomus",129837
"1362","Yphria","Yphria californica",115923
